
## FlyBase Gene Mapping Table
## Generated: Sat Apr  6 20:50:14 2024
## Using datasource: dbi:Pg:dbname=fb_2024_02_reporting;host=flysql25;port=5432...

##organism_abbreviation	current_symbol	primary_FBid	recombination_loc	cytogenetic_loc	sequence_loc
Dmel	snRNA:4.5S	FBgn0000001	3-[21]	65A-65A	
Dmel	5SrRNA	FBgn0000002	2-[90]	56F1-56F2	
Dmel	7SLRNA:CR32864	FBgn0000003	3-48	84A5-84A5	3R:6822500..6822798(1)
Dmel	a	FBgn0000008	2-98	58C1-58C5	2R:22136968..22172834(1)
Dmel	Abnormal-abdomen	FBgn0000009	1-4.5	3A5-3A5	
Dmel	aa	FBgn0000010	3-0.0	61E2-62A6	
Dmel	abb	FBgn0000012	2-105.5	59E2-59F8	
Dmel	abd	FBgn0000013	3-27	66D10-66F5	
Dmel	abd-A	FBgn0000014	3-59	89E2-89E2	3R:16807214..16830049(-1)
Dmel	Abd-B	FBgn0000015	3-59	89E4-89E5	3R:16927212..16972236(-1)
Dmel	Abl	FBgn0000017	3-44	73B1-73B4	3L:16615866..16647882(-1)
Dmel	abo	FBgn0000018	2-44	32C1-32C1	2L:10973443..10975293(-1)
Dmel	abr	FBgn0000019	2-83	54E-54E	
Dmel	abt	FBgn0000020	1-45.6		
Dmel	abw	FBgn0000021	1-60		
Dmel	ac	FBgn0000022	1-0	1A6-1A6	X:370031..370947(1)
Dmel	acclinal-wing	FBgn0000023	1-54.5		
Dmel	Ace	FBgn0000024	3-53	87E2-87E3	3R:13222951..13259517(-1)
Dmel	acj1	FBgn0000025	1-		
Dmel	acj2	FBgn0000026	1-		
Dmel	acj3	FBgn0000027	1-		
Dmel	acj6	FBgn0000028	1-50	13B8-13C1	X:15350239..15379064(-1)
Dmel	AcpB	FBgn0000029	2-52.8		
Dmel	AcpC	FBgn0000030	2-53.0	36D1-36F1	
Dmel	AcpGI	FBgn0000031	2-13.5		
Dmel	Acph-1	FBgn0000032	3-100	99D1-99D1	3R:29991144..29993411(-1)
Dmel	AcpJ	FBgn0000033	2-		
Dmel	AcpK	FBgn0000034	2-54.1		
Dmel	nAChRalpha1	FBgn0000036	3-85	96A1-96A2	3R:24393896..24457157(-1)
Dmel	mAChR-A	FBgn0000037	2-106	60C7-60C7	2R:24378630..24390294(-1)
Dmel	nAChRbeta1	FBgn0000038	3-12	64B6-64B6	3L:4429349..4435993(1)
Dmel	nAChRalpha2	FBgn0000039	3-85	96A3-96A3	3R:24485428..24491147(1)
Dmel	act	FBgn0000041	3-90		
Dmel	Act5C	FBgn0000042	1-14	5C7-5C7	X:5900861..5905399(1)
Dmel	Act42A	FBgn0000043	2-55	42A7-42A7	2R:6013910..6015689(-1)
Dmel	Act57B	FBgn0000044	2-92	57B5-57B5	2R:20944021..20946431(1)
Dmel	Act79B	FBgn0000045	3-47	79A6-79A6	3L:21985210..21987190(1)
Dmel	Act87E	FBgn0000046	3-53	87E11-87E11	3R:13425983..13428375(1)
Dmel	Act88F	FBgn0000047	3-57	88F5-88F5	3R:15439969..15442177(1)
Dmel	ad	FBgn0000048	2-60.7		
Dmel	l(1)adl1	FBgn0000049	1-21.3	7D14-7D22	
Dmel	ade1	FBgn0000051	1-57	[>15F2] Left limit from recombination mapping relative to f (FBrf0026364)	
Dmel	Pfas	FBgn0000052	2-18	26B3-26B3	2L:6041181..6046050(-1)
Dmel	Gart	FBgn0000053	2-24	27D4-27D4	2L:7014623..7023898(-1)
Dmel	Adh	FBgn0000055	2-50	35B3-35B3	2L:14615552..14618902(1)
Dmel	Adhr	FBgn0000056	2-50	35B3-35B3	2L:14615552..14618902(1)
Dmel	adp	FBgn0000057	2-84	55B9-55B9	2R:18151704..18154060(1)
Dmel	ag	FBgn0000059	1-20.7	7A5-7C1	
Dmel	al	FBgn0000061	2-0.7	21C1-21C1	2L:378112..387439(1)
Dmel	alb	FBgn0000062	2-		
Dmel	Mps1	FBgn0000063	3-61	90C1-90C1	3R:17671271..17673828(1)
Dmel	Ald1	FBgn0000064	3-90	97A6-97A6	3R:26254069..26261591(-1)
Dmel	Aldox89A	FBgn0000065	3-57.2	89A1-89A2	
Dmel	Aldox54AF	FBgn0000066	2-82.9	54A1-54F6	
Dmel	ale	FBgn0000067	3-47.5	[70D2--89B9] Left limit from recombination mapping relative to D (FBrf0023540) Right limit from recombination mapping relative to Sb (FBrf0023540)	
Dmel	alo	FBgn0000068	1-38.3		
Dmel	Ablp	FBgn0000069	2-10	24A1-24A1	
Dmel	Alu	FBgn0000070	2-54.9	[<38B6] Right limit from recombination mapping relative to pr (citation unavailable)	
Dmel	Ama	FBgn0000071	3-48	84A5-84A5	3R:6762593..6765261(1)
Dmel	Ama-1	FBgn0000072	3-19		
Dmel	Ama-2	FBgn0000073	3-100		
Dmel	amb	FBgn0000074	1-6.8	4C6-4D1	
Dmel	amd	FBgn0000075	2-54	37C1-37C1	2L:19110154..19114110(1)
Dmel	amx	FBgn0000077	1-27	8D2-8D2	X:9245915..9247336(-1)
Dmel	Amy-d	FBgn0000078	2-81	53F12-53F12	2R:17124764..17126369(1)
Dmel	Amy-p	FBgn0000079	2-81	53F12-53F12	2R:17118636..17120303(-1)
Dmel	an	FBgn0000080	2-44 +/- 10		
Dmel	AnxB9	FBgn0000083	3-70	93B9-93B10	3R:21065241..21070917(1)
Dmel	AnxB10	FBgn0000084	1-64	19C1-19C1	X:20171445..20173514(-1)
Dmel	ano	FBgn0000085	1-35.7		
Dmel	dyw	FBgn0000092	1-1.5	3B2-3B2	X:2692732..2693886(-1)
Dmel	Anp	FBgn0000094	3-100	99E2-99E2	3R:30209948..30210382(1)
Dmel	ants	FBgn0000096	3-49.4		
Dmel	aop	FBgn0000097	2-5	22D1-22D1	2L:2156484..2178754(-1)
Dmel	aor	FBgn0000098	3-[85]	96A2-96A7	
Dmel	RpLP0	FBgn0000100	3-47	79B2-79B2	3L:22075867..22077487(1)
Dmel	apb	FBgn0000101	2-44.7		
Dmel	aperA	FBgn0000102	1-22.1		
Dmel	aperB	FBgn0000103	1-0.6	2D3-2F3	
Dmel	aperC	FBgn0000104	1-0.4	1E3-2A4	
Dmel	Appl	FBgn0000108	1-0	1B9-1B10	X:530501..579044(1)
Dmel	Aprt	FBgn0000109	3-1.0	62B9-62B9	3L:1883795..1885019(-1)
Dmel	apx	FBgn0000110	1-11.3		
Dmel	ar	FBgn0000112	4-	102A2-102D2	
Dmel	arch	FBgn0000113	2-60.5		
Dmel	bru1	FBgn0000114	2-46	33D3-33D5	2L:12175004..12313438(1)
Dmel	Arl1	FBgn0000115	3-43	72C1-72C1	3L:15983135..15984362(1)
Dmel	Argk1	FBgn0000116	3-28	66F3-66F4	3L:9048781..9066027(-1)
Dmel	arm	FBgn0000117	1-0.2	2B14-2B14	X:1891401..1900646(-1)
